sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
92, 748652059, 138.24270629882812, -68.05584716796875, 14.18541431427002, 0.18434131145477295, -0.7431525588035583, 0.7448089122772217, 12.091105461120605, -43.02701950073242, 45.952239990234375, 170.91213989257812, 101.77313232421875, -264.9671325683594, 
93, 748668726, 135.3511962890625, -67.95638275146484, 22.038217544555664, 0.003287792205810547, -0.2946125268936157, 0.7423907518386841, -0.17735540866851807, -15.955132484436035, 45.20082092285156, 264.1004638671875, 109.81873321533203, -136.85919189453125, 
94, 748685393, 131.21287536621094, -70.9783935546875, 29.829233169555664, -0.232269287109375, -0.27220427989959717, 0.5319111347198486, -15.06707763671875, -15.41470718383789, 31.867284774780273, 190.69686889648438, 235.97451782226562, 15.506047248840332, 
95, 748702060, 114.96327209472656, -76.67181396484375, 50.60871887207031, -0.5530337691307068, -0.2881374955177307, 0.26256614923477173, -34.431156158447266, -16.351037979125977, 14.035300254821777, 225.84713745117188, 465.5228576660156, 89.54521942138672, 
96, 748718727, 61.29656982421875, -78.59428405761719, 107.24308013916016, -0.5038419365882874, -0.16552811861038208, 0.2618281841278076, -31.878597259521484, -9.14480972290039, 12.781548500061035, 112.53095245361328, 688.59033203125, 121.65071105957031, 
97, 748735394, 19.874956130981445, -69.79156494140625, 149.7597198486328, -0.21444398164749146, -0.4056394696235657, 0.36119627952575684, -16.040939331054688, -23.988723754882812, 19.977846145629883, -14.341951370239258, 809.9059448242188, 193.86805725097656, 
98, 748752061, 4.168571949005127, -56.24240493774414, 166.0008544921875, 0.17994177341461182, -0.5162456631660461, 0.493013858795166, 5.808995246887207, -31.604299545288086, 30.447635650634766, -64.63031005859375, 872.1672973632812, 262.0364990234375, 
99, 748768728, -4.024968147277832, -40.81731414794922, 173.44078063964844, 0.30311399698257446, -0.42665529251098633, 0.2645835280418396, 14.883289337158203, -26.688453674316406, 17.586523056030273, -150.8053436279297, 916.421630859375, 292.3390808105469, 
100, 748785395, -12.286935806274414, -26.812562942504883, 179.0011444091797, -0.038737356662750244, -0.03178125619888306, -0.13036274909973145, -1.517929196357727, -1.4379221200942993, -8.13430118560791, -304.49786376953125, 784.393310546875, 391.145263671875, 
101, 748802062, -18.762601852416992, -14.396323204040527, -176.48025512695312, 0.04261571168899536, 0.05877888202667236, -0.7631430625915527, 7.088749408721924, 5.18693208694458, -45.23503494262695, -289.25372314453125, 642.6475830078125, 441.31829833984375, 
